filename,number_of_nodes,number_of_edges,number_of_connected_components,number_of_endpoints,number_of_branch_points,number_of_isolated_nodes,average_node_degree,maximum_node_degree,minimum_node_degree,average_edge_length,maximum_edge_length,minimum_edge_length,total_vessel_length,graph_density,average_clustering_coefficient,graph_transitivity,diameter,average_shortest_path_length,largest_connected_component_size,number_of_small_connected_components,endpoint_to_branch_ratio,branch_point_density,average_vessel_segment_length,number_of_vessel_segments,processing_status,error
10476.graphml,131.0,167.0,3.0,36.0,95.0,0.0,2.549618320610687,4.0,1.0,15.265900226250789,154.05382386916227,1.0,2549.405337783882,0.01961244862008221,0.25190839694656486,0.3496932515337423,37.0,13.28972783143108,68.0,1.0,0.37894736842105264,0.7251908396946565,15.265900226250789,167.0,ok,
10477.graphml,98.0,113.0,12.0,41.0,57.0,0.0,2.306122448979592,4.0,1.0,18.9754121380514,138.7817459305202,1.0,2144.221571599808,0.02377445823690301,0.22448979591836735,0.38028169014084506,25.0,9.04,51.0,6.0,0.7192982456140351,0.5816326530612245,18.9754121380514,113.0,ok,
10478.graphml,131.0,148.0,20.0,57.0,74.0,0.0,2.2595419847328246,4.0,1.0,15.829793581611407,132.68124086713183,1.0,2342.809450078488,0.017381092190252495,0.2188295165394402,0.38461538461538464,12.0,5.236974789915966,35.0,12.0,0.7702702702702703,0.5648854961832062,15.829793581611407,148.0,ok,
10479.graphml,145.0,174.0,17.0,56.0,89.0,0.0,2.4,4.0,1.0,13.807925302874647,157.40916292848974,1.0,2402.5790027001885,0.016666666666666666,0.23103448275862068,0.37719298245614036,18.0,7.063879210220674,42.0,10.0,0.6292134831460674,0.6137931034482759,13.807925302874647,174.0,ok,
10480.graphml,102.0,109.0,16.0,49.0,53.0,0.0,2.1372549019607843,4.0,1.0,22.52829406728506,133.32590180780446,1.0,2455.5840533340715,0.021160939623374102,0.1895424836601307,0.36507936507936506,11.0,4.5095238095238095,21.0,7.0,0.9245283018867925,0.5196078431372549,22.52829406728506,109.0,ok,
10481.graphml,105.0,114.0,17.0,49.0,56.0,0.0,2.1714285714285713,4.0,1.0,21.68700980763479,156.39696961967007,1.0,2472.319118070366,0.020879120879120878,0.21111111111111108,0.3880597014925373,12.0,4.9021739130434785,24.0,9.0,0.875,0.5333333333333333,21.68700980763479,114.0,ok,
10482.graphml,136.0,150.0,18.0,60.0,76.0,0.0,2.2058823529411766,4.0,1.0,15.661687339282562,150.9827560572969,1.0,2349.2531008923843,0.016339869281045753,0.20588235294117646,0.36363636363636365,19.0,7.591966173361522,44.0,12.0,0.7894736842105263,0.5588235294117647,15.661687339282562,150.0,ok,
10483.graphml,55.0,42.0,19.0,42.0,13.0,0.0,1.5272727272727273,5.0,1.0,38.24390157562844,154.91168824543138,1.0,1606.2438661763947,0.028282828282828285,0.0903030303030303,0.3673469387755102,4.0,2.2444444444444445,10.0,16.0,3.230769230769231,0.23636363636363636,38.24390157562844,42.0,ok,
10484.graphml,141.0,167.0,13.0,52.0,89.0,0.0,2.368794326241135,4.0,1.0,15.864259349575967,205.58073580374372,1.0,2649.3313113791864,0.01691995947315096,0.24113475177304963,0.3738019169329074,30.0,11.983423423423423,75.0,8.0,0.5842696629213483,0.6312056737588653,15.864259349575967,167.0,ok,
10485.graphml,86.0,89.0,16.0,42.0,44.0,0.0,2.0697674418604652,4.0,1.0,26.279008366910954,207.96551211459422,1.0,2338.831744655075,0.024350205198358413,0.2131782945736434,0.3904109589041096,9.0,3.683333333333333,16.0,7.0,0.9545454545454546,0.5116279069767442,26.279008366910954,89.0,ok,
10486.graphml,96.0,103.0,17.0,47.0,49.0,0.0,2.1458333333333335,5.0,1.0,21.318301586998526,182.6812408671321,1.0,2195.785063460848,0.022587719298245615,0.20555555555555552,0.40106951871657753,13.0,5.25,25.0,12.0,0.9591836734693877,0.5104166666666666,21.318301586998526,103.0,ok,
10487.graphml,126.0,137.0,19.0,60.0,66.0,0.0,2.1746031746031744,5.0,1.0,19.577378569349538,157.12489168102798,1.0,2682.1008640008868,0.017396825396825397,0.18783068783068782,0.372,10.0,4.56980056980057,27.0,10.0,0.9090909090909091,0.5238095238095238,19.577378569349538,137.0,ok,
10488.graphml,90.0,99.0,16.0,43.0,47.0,0.0,2.2,4.0,1.0,22.586486788215897,152.61017305526647,1.0,2236.062192033374,0.024719101123595506,0.19629629629629627,0.3770491803278688,14.0,5.1550802139037435,34.0,12.0,0.9148936170212766,0.5222222222222223,22.586486788215897,99.0,ok,
10489.graphml,125.0,138.0,18.0,54.0,71.0,0.0,2.208,4.0,1.0,17.9909827986183,160.8233764908628,1.0,2482.755626209326,0.017806451612903226,0.20266666666666666,0.34854771784232363,13.0,5.342741935483871,32.0,11.0,0.7605633802816901,0.568,17.9909827986183,138.0,ok,
10490.graphml,134.0,164.0,9.0,47.0,87.0,0.0,2.4477611940298507,4.0,1.0,15.512735796902847,133.85281374238562,1.0,2544.088670692067,0.01840421950398384,0.23383084577114427,0.3644859813084112,33.0,11.927230046948356,72.0,4.0,0.5402298850574713,0.6492537313432836,15.512735796902847,164.0,ok,
10491.graphml,123.0,148.0,13.0,47.0,76.0,0.0,2.4065040650406506,4.0,1.0,16.558912474884234,146.71067811865478,1.0,2450.7190462828667,0.019725443156070905,0.23577235772357724,0.38144329896907214,27.0,9.772233400402415,71.0,9.0,0.618421052631579,0.6178861788617886,16.558912474884234,148.0,ok,
10492.graphml,155.0,175.0,18.0,64.0,91.0,0.0,2.2580645161290325,4.0,1.0,16.1746097607063,215.09545442950525,1.0,2830.5567081236027,0.01466275659824047,0.21075268817204298,0.3557692307692308,15.0,5.9630156472261735,38.0,10.0,0.7032967032967034,0.5870967741935483,16.1746097607063,175.0,ok,
10493.graphml,107.0,117.0,15.0,48.0,59.0,0.0,2.1869158878504673,4.0,1.0,20.81660190404897,266.8233764908632,1.0,2435.5424227737294,0.020631281960853464,0.205607476635514,0.36764705882352944,14.0,5.561253561253562,27.0,7.0,0.8135593220338984,0.5514018691588785,20.81660190404897,117.0,ok,
10494.graphml,87.0,85.0,17.0,48.0,39.0,0.0,1.9540229885057472,4.0,1.0,28.893058295786773,110.15432893255063,1.0,2455.909955141876,0.0227211975407645,0.1532567049808429,0.3409090909090909,9.0,3.683333333333333,16.0,10.0,1.2307692307692308,0.4482758620689655,28.893058295786773,85.0,ok,
10495.graphml,120.0,142.0,11.0,46.0,74.0,0.0,2.3666666666666667,4.0,1.0,18.89419698816802,140.29646455628162,1.0,2682.9759723198586,0.019887955182072828,0.22916666666666666,0.36666666666666664,13.0,5.570075757575758,33.0,6.0,0.6216216216216216,0.6166666666666667,18.89419698816802,142.0,ok,
10496.graphml,136.0,166.0,9.0,47.0,89.0,0.0,2.4411764705882355,4.0,1.0,16.380804592609003,149.58073580374355,1.0,2719.2135623730946,0.018082788671023965,0.23651960784313725,0.3644859813084112,16.0,6.542042042042042,37.0,3.0,0.5280898876404494,0.6544117647058824,16.380804592609003,166.0,ok,
10497.graphml,85.0,80.0,18.0,48.0,37.0,0.0,1.8823529411764706,4.0,1.0,27.953962825366414,161.19595949289334,1.0,2236.317026029313,0.022408963585434174,0.15294117647058825,0.3391304347826087,11.0,5.012307692307692,26.0,13.0,1.2972972972972974,0.43529411764705883,27.953962825366414,80.0,ok,
10498.graphml,102.0,102.0,20.0,54.0,48.0,0.0,2.0,4.0,1.0,24.67558779550859,121.91168824543135,1.0,2516.9099551418763,0.019801980198019802,0.17647058823529413,0.37037037037037035,10.0,4.229437229437229,22.0,13.0,1.125,0.47058823529411764,24.67558779550859,102.0,ok,
10499.graphml,151.0,170.0,24.0,69.0,82.0,0.0,2.251655629139073,6.0,1.0,14.231145479133687,135.62741699796953,1.0,2419.294731452727,0.015011037527593819,0.21037527593818983,0.3888888888888889,16.0,6.166429587482219,38.0,18.0,0.8414634146341463,0.543046357615894,14.231145479133687,170.0,ok,
10500.graphml,104.0,110.0,16.0,50.0,54.0,0.0,2.1153846153846154,4.0,1.0,23.903390381268437,161.98275605729697,1.0,2629.372941939528,0.020537714712471993,0.18589743589743588,0.3548387096774194,13.0,5.593596059113301,29.0,11.0,0.9259259259259259,0.5192307692307693,23.903390381268437,110.0,ok,
